 Comb. , Node , Ux , Uy , Uz , ROTx , ROTy , ROTz 
ELU01, 0, 0, 0, -0.0674566, 3.67897e-10, 0, 0
ELU01, 2, 0, 0, -0.0671665, 0.00253652, 0, 0
ELU01, 3, 0, 0, -0.0662983, 0.00505476, 0, 0
ELU01, 4, 0, 0, -0.0648583, 0.00753642, 0, 0
ELU01, 5, 0, 0, -0.0628568, 0.00996323, 0, 0
ELU01, 6, 0, 0, -0.0603086, 0.0123169, 0, 0
ELU01, 7, 0, 0, -0.0572325, 0.0145792, 0, 0
ELU01, 8, 0, 0, -0.0536514, 0.0167317, 0, 0
ELU01, 9, 0, 0, -0.0495925, 0.0187562, 0, 0
ELU01, 10, 0, 0, -0.0450872, 0.0206345, 0, 0
ELU01, 1, 0, 0, -0.040171, 0.0223482, 0, 0
ELU01, 12, 0, 0, -0.0351431, 0.0238106, 0, 0
ELU01, 13, 0, 0, -0.0298164, 0.0250913, 0, 0
ELU01, 14, 0, 0, -0.024232, 0.0261746, 0, 0
ELU01, 15, 0, 0, -0.0184347, 0.0270446, 0, 0
ELU01, 16, 0, 0, -0.0124726, 0.0276856, 0, 0
ELU01, 17, 0, 0, -0.00639732, 0.0280818, 0, 0
ELU01, 11, 0, 0, -0.000263872, 0.0282174, 0, 0
ELU01, 18, 0, 0, -2.00521e-10, 0, 0, 0
ELU01, 20, 0, 0, -2.23684e-05, 0, 0, 0
ELU01, 21, 0, 0, -4.46678e-05, 0, 0, 0
ELU01, 22, 0, 0, -6.68982e-05, 0, 0, 0
ELU01, 23, 0, 0, -8.90598e-05, 0, 0, 0
ELU01, 24, 0, 0, -0.000111152, 0, 0, 0
ELU01, 25, 0, 0, -0.000133176, 0, 0, 0
ELU01, 26, 0, 0, -0.000155131, 0, 0, 0
ELU01, 27, 0, 0, -0.000177017, 0, 0, 0
ELU01, 28, 0, 0, -0.000198834, 0, 0, 0
ELU01, 29, 0, 0, -0.000220582, 0, 0, 0
ELU01, 30, 0, 0, -0.000242262, 0, 0, 0
ELU01, 19, 0, 0, -0.000263872, 0, 0, 0
ELU02, 0, 0, 0, -0.0929849, 5.07138e-10, 0, 0
ELU02, 2, 0, 0, -0.092585, 0.00349654, 0, 0
ELU02, 3, 0, 0, -0.0913882, 0.00696787, 0, 0
ELU02, 4, 0, 0, -0.0894032, 0.0103888, 0, 0
ELU02, 5, 0, 0, -0.0866442, 0.0137341, 0, 0
ELU02, 6, 0, 0, -0.0831316, 0.0169786, 0, 0
ELU02, 7, 0, 0, -0.0788912, 0.0200971, 0, 0
ELU02, 8, 0, 0, -0.0739548, 0.0230643, 0, 0
ELU02, 9, 0, 0, -0.0683597, 0.0258551, 0, 0
ELU02, 10, 0, 0, -0.0621492, 0.0284442, 0, 0
ELU02, 1, 0, 0, -0.0553723, 0.0308065, 0, 0
ELU02, 12, 0, 0, -0.0484415, 0.0328224, 0, 0
ELU02, 13, 0, 0, -0.0410986, 0.0345878, 0, 0
ELU02, 14, 0, 0, -0.0334007, 0.0360811, 0, 0
ELU02, 15, 0, 0, -0.0254092, 0.0372804, 0, 0
ELU02, 16, 0, 0, -0.0171906, 0.0381641, 0, 0
ELU02, 17, 0, 0, -0.00881599, 0.0387102, 0, 0
ELU02, 11, 0, 0, -0.000361157, 0.0388971, 0, 0
ELU02, 18, 0, 0, -2.72556e-10, 0, 0, 0
ELU02, 20, 0, 0, -3.04214e-05, 0, 0, 0
ELU02, 21, 0, 0, -6.07835e-05, 0, 0, 0
ELU02, 22, 0, 0, -9.10865e-05, 0, 0, 0
ELU02, 23, 0, 0, -0.00012133, 0, 0, 0
ELU02, 24, 0, 0, -0.000151515, 0, 0, 0
ELU02, 25, 0, 0, -0.000181641, 0, 0, 0
ELU02, 26, 0, 0, -0.000211708, 0, 0, 0
ELU02, 27, 0, 0, -0.000241716, 0, 0, 0
ELU02, 28, 0, 0, -0.000271665, 0, 0, 0
ELU02, 29, 0, 0, -0.000301554, 0, 0, 0
ELU02, 30, 0, 0, -0.000331385, 0, 0, 0
ELU02, 19, 0, 0, -0.000361157, 0, 0, 0
ELU03, 0, 0, 0, -0.0903038, 4.92515e-10, 0, 0
ELU03, 2, 0, 0, -0.0899155, 0.00339572, 0, 0
ELU03, 3, 0, 0, -0.0887532, 0.00676696, 0, 0
ELU03, 4, 0, 0, -0.0868253, 0.0100892, 0, 0
ELU03, 5, 0, 0, -0.084146, 0.0133381, 0, 0
ELU03, 6, 0, 0, -0.0807346, 0.016489, 0, 0
ELU03, 7, 0, 0, -0.0766165, 0.0195176, 0, 0
ELU03, 8, 0, 0, -0.0718224, 0.0223992, 0, 0
ELU03, 9, 0, 0, -0.0663887, 0.0251095, 0, 0
ELU03, 10, 0, 0, -0.0603572, 0.027624, 0, 0
ELU03, 1, 0, 0, -0.0537757, 0.0299182, 0, 0
ELU03, 12, 0, 0, -0.0470448, 0.0318759, 0, 0
ELU03, 13, 0, 0, -0.0399137, 0.0335905, 0, 0
ELU03, 14, 0, 0, -0.0324377, 0.0350407, 0, 0
ELU03, 15, 0, 0, -0.0246767, 0.0362055, 0, 0
ELU03, 16, 0, 0, -0.0166951, 0.0370636, 0, 0
ELU03, 17, 0, 0, -0.0085619, 0.037594, 0, 0
ELU03, 11, 0, 0, -0.000350865, 0.0377755, 0, 0
ELU03, 18, 0, 0, -2.6488e-10, 0, 0, 0
ELU03, 20, 0, 0, -2.95638e-05, 0, 0, 0
ELU03, 21, 0, 0, -5.90682e-05, 0, 0, 0
ELU03, 22, 0, 0, -8.85136e-05, 0, 0, 0
ELU03, 23, 0, 0, -0.0001179, 0, 0, 0
ELU03, 24, 0, 0, -0.000147227, 0, 0, 0
ELU03, 25, 0, 0, -0.000176496, 0, 0, 0
ELU03, 26, 0, 0, -0.000205705, 0, 0, 0
ELU03, 27, 0, 0, -0.000234855, 0, 0, 0
ELU03, 28, 0, 0, -0.000263946, 0, 0, 0
ELU03, 29, 0, 0, -0.000292978, 0, 0, 0
ELU03, 30, 0, 0, -0.000321951, 0, 0, 0
ELU03, 19, 0, 0, -0.000350865, 0, 0, 0
